ncbi_uid,accession,organism,title,length,pmid
2556867092,BK063066.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,6023,
2556867087,BK063065.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,3857,
2556867083,BK063064.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,3653,
2556867081,BK063063.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,3142,
2556867076,BK063062.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,9899,
2556867046,BK063061.1,Malaco herpesvirus 2,TPA_asm: Malaco herpesvirus 2 isolate MalacoHV2/Med/2018 153 genomic sequence,41853,
2556867000,BK063060.1,Malaco herpesvirus 2,TPA_asm: Malaco herpesvirus 2 isolate MalacoHV2/Med/2018 153 genomic sequence,76690,
2508213632,OQ101585.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate SDYK2017, complete genome",199267,
2327845302,ON954014.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 14 NC1NC2 region genomic sequence,400,
2327845301,ON954013.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 25 NC1NC2 region genomic sequence,400,
2327845300,ON954012.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 24 NC1NC2 region genomic sequence,400,
2327845299,ON954011.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 26 NC1NC2 region genomic sequence,402,
2327845298,ON954010.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 27 NC1NC2 region genomic sequence,400,
2327845297,ON954009.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 30 NC1NC2 region genomic sequence,400,
2327845296,ON954008.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 99 NC1NC2 region genomic sequence,396,
2327845295,ON954007.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 66 NC1NC2 region genomic sequence,398,
2327845294,ON954006.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 9 NC1NC2 region genomic sequence,398,
2327845293,ON954005.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 100 NC1NC2 region genomic sequence,398,
2327845292,ON954004.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 103 NC1NC2 region genomic sequence,398,
2327845291,ON954003.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 104 NC1NC2 region genomic sequence,398,
2327845290,ON954002.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 105 NC1NC2 region genomic sequence,398,
2327845289,ON954001.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 isolate 109 NC1NC2 region genomic sequence,398,
2327845287,ON953766.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 ORF88 gene, partial cds",821,
2327845285,ON953765.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 16 ORF88 gene, partial cds",821,
2327845283,ON953764.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 113 ORF88 gene, partial cds",821,
2327845280,ON953763.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 100 ORF11 gene, partial cds",1990,
2327845278,ON953762.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 115 ORF11 gene, partial cds",1990,
2327845276,ON953761.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 119 ORF11 gene, partial cds",1990,
2327845274,ON953760.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 47 ORF11 gene, partial cds",1990,
2327845272,ON953759.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 119 ORF35 gene, partial cds",270,
2327845270,ON953758.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 30 ORF43 gene, partial cds",506,
2327845268,ON953757.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 115 ORF43 gene, partial cds",506,
2327845266,ON953756.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 ORF4 gene, partial cds",520,
2327845264,ON953755.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 10 ORF4 gene, partial cds",517,
2327845262,ON953754.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 29 ORF4 gene, partial cds",520,
2327845260,ON953753.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 72 ORF4 gene, partial cds",520,
2327845258,ON953752.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate 118 ORF4 gene, partial cds",520,
2314634380,ON411413.1,Crassostrea gigas virus OsHV-1,UNVERIFIED: Crassostrea gigas virus OsHV-1 strain F15-Thau_INF-2016 genomic sequence,203559,
2314634379,ON411412.1,Crassostrea gigas virus OsHV-1,UNVERIFIED: Crassostrea gigas virus OsHV-1 strain F15-Thau_INF-2016 genomic sequence,186293,
2234564380,OM811597.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Th_ind10, complete genome",204915,
2234564210,OM811596.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Th_ind9, complete genome",204909,
2234564046,OM811594.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Th_ind7, complete genome",204913,
2234563882,OM811593.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Th_ind6, complete genome",204911,
2234563717,OM811592.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Th_ind5, complete genome",204899,
2234563554,OM811591.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Th_ind4, complete genome",204889,
2234563392,OM811590.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Th_ind3, complete genome",204931,
2234563230,OM811589.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Th_ind1, complete genome",204907,
2234563070,OM811588.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate MO_ind10, complete genome",204900,
2234562908,OM811595.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Th_ind8, complete genome",204893,
2234562740,OM811587.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate MO_ind9, complete genome",204921,
2234562572,OM811586.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate MO_ind8, complete genome",204925,
2234562406,OM811585.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate MO_ind7, complete genome",204921,
2234562238,OM811584.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate MO_ind4, complete genome",204932,
2234562068,OM811583.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate MO_ind3, complete genome",204906,
2234561900,OM811582.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate MO_ind1, complete genome",204935,
2234561742,OM811581.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Br_ind10, complete genome",204909,
2234561579,OM811580.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Br_ind9, complete genome",204911,
2234561418,OM811579.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Br_ind6, complete genome",204909,
2234561258,OM811578.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Br_ind4, complete genome",204917,
2234561096,OM811577.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Br_ind2, complete genome",204922,
2117203472,MW412420.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate CN2017, complete genome",203173,
2117203255,MW412419.1,Haliotid herpesvirus 1,"Haliotid herpesvirus 1 isolate CN2003, complete genome",210563,
2018529447,MW504468.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 clone TBC_2007_ORF43 hypothetical protein gene, partial cds",568,
2018529361,MW504467.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 clone TBAB_2017_ORF43 hypothetical protein gene, partial cds",568,
2018529300,MW504466.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 clone SD1_2018_ORF43 hypothetical protein gene, partial cds",568,
2018529241,MW504465.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 clone TBC_2007_ORF4 hypothetical protein gene, partial cds",670,
2018529184,MW504464.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 clone TBB_2017_ORF4 hypothetical protein gene, partial cds",685,
2018529101,MW504463.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 clone TBA_2017_ORF4 hypothetical protein gene, partial cds",682,
2018529044,MW504462.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 clone SD1_2018_ORF4 hypothetical protein gene, partial cds",657,
1994018051,MT702619.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF_PT1 and ORF4 genes, partial cds",447,
1994018048,MT702618.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF_PT1 and ORF4 genes, partial cds",650,
1994018045,MT702617.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF_PT1 and ORF4 genes, partial cds",695,
1910319849,MT900589.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate L3 hypothetical protein gene, partial cds",300,
1910319699,MT797824.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate L3 hypothetical protein gene, partial cds",316,
1827223481,MN174152.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate M21 microsatellite sequence; and ORF4 gene, partial cds",706,
1827223479,MN174151.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate M20G microsatellite sequence; and ORF4 gene, partial cds",703,
1827223477,MN174150.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate M20 microsatellite sequence; and ORF4 gene, partial cds",703,
1827223475,MN174149.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate M19G microsatellite sequence; and ORF4 gene, partial cds",700,
1827223473,MN174148.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate M19 microsatellite sequence; and ORF4 gene, partial cds",700,
1827223471,MN174147.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate M18G microsatellite sequence; and ORF4 gene, partial cds",697,
1827223469,MN174146.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate M18 microsatellite sequence; and ORF4 gene, partial cds",697,
1827223467,MN174145.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate M17 microsatellite sequence; and ORF4 gene, partial cds",694,
1827223465,MN174144.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate M16 microsatellite sequence; and ORF4 gene, partial cds",691,
1824101285,MT157289.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Marennes Oleron hypothetical protein gene, partial cds",567,
1824101283,MT157288.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Georges River NSW hypothetical protein gene, partial cds",567,
1824101281,MT157287.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Marennes Oleron hypothetical protein gene, partial cds",651,
1824101279,MT157286.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Georges River NSW hypothetical protein gene, partial cds",651,
1718075347,MK610098.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 putative apoptosis inhibitor (ORF 43) gene, partial cds",572,
1616247978,MK591136.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 hypothetical protein genes, partial cds",384,
1616241132,MK569379.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microvar_IA2/IA1 KHJ hypothetical protein gene, partial cds",607,
1616241130,MK569378.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microvar_C2C6 KHJ ORF4 gene, partial cds",695,
1481374052,MH368040.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 genotype 7 ORF118, ORF41, ORF72, ORF80, ORF88, ORF103, and ORF111 genes, complete cds",14883,
1481374044,MH368039.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 genotype 6 ORF118, ORF41, ORF72, ORF80, ORF88, ORF103, and ORF111 genes, complete cds",14883,
1481374036,MH368038.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 genotype 5 ORF118, ORF41, ORF72, ORF80, ORF88, ORF103, and ORF111 genes, complete cds",14883,
1481374029,MH368037.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 genotype 4 ORF118, ORF41, ORF80, ORF88, ORF103, and ORF111 genes, complete cds",14885,
1481374021,MH368036.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 genotype 3 ORF118, ORF41, ORF72, ORF80, ORF88, ORF103, and ORF111 genes, complete cds",14883,
1481374013,MH368035.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 genotype 2 ORF118, ORF41, ORF72, ORF80, ORF88, ORF103, and ORF111 genes, complete cds",14883,
1481374006,MH368034.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 genotype 1 ORF118, ORF72, ORF80, ORF88, ORF103, and ORF111 genes, complete cds",14883,
537108089,NC_005881.2,Ostreid herpesvirus 1,"Ostreid herpesvirus 1, complete genome",207439,
409191184,NC_018874.1,Abalone herpesvirus Victoria/AUS/2009,"Abalone herpesvirus Victoria/AUS/2009, complete genome",211518,
1370705648,MF509813.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate ZK0118, complete genome",204652,
1360818410,MG561751.2,Ostreid herpesvirus 1,"Ostreid herpesvirus 1, complete genome",203983,
1352189616,KY800900.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 ORF4-like gene, partial sequence",165,
1352189326,KY800899.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 BIR-like gene, partial sequence",176,
1352189248,KY800898.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 class I membrane protein-like gene, partial sequence",57,
1342770401,KY753866.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF32-like gene, complete sequence",2194,
1342770400,KY753865.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF65-like gene, complete sequence",1986,
1342770398,KY753864.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF118 gene, complete cds",669,
1342770396,KY753863.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF111 gene, complete cds",870,
1342770394,KY753862.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF103 gene, complete cds",1272,
1342770392,KY753861.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF88 gene, complete cds",2247,
1342770390,KY753860.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF80 gene, complete cds",351,
1342770389,KY753859.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF72-like gene, complete sequence",569,
1342770387,KY753858.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF41 gene, complete cds",2922,
1342770385,KY753857.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF25 gene, complete cds",666,
1342770384,KY753856.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF5-like gene, complete sequence",1805,
1279573018,KY921758.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain Puerto Penasco 1 DNA polymerase I gene, partial cds",663,
1214784712,KY271630.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar variant B, complete genome",204897,
1214784583,KY242785.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar variant A, complete genome",204886,
1109490633,KX147758.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate microvar C-D microsatellite CTA sequence; and DNA polymerase I (ORF4) gene, partial cds",586,
1098493808,KT961038.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate 2 Muggia, partial sequence",1452,
1098493768,KT961037.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate 1 Muggia, partial sequence",1451,
1093393266,KT954024.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Cervia ORF35/38-like gene, partial sequence",319,
1093393265,KT954023.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Chioggia ORF35/38-like gene, partial sequence",319,
1093393264,KT954022.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Caorle ORF35/38-like gene, partial sequence",924,
1093393263,KT954021.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate MonfalconE ORF35/38-like gene, partial sequence",319,
1093393262,KT954020.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Monfalcone ORF35/38-like gene, partial sequence",379,
1093393261,KT954019.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Caorle ORF42/43-like gene, partial sequence",587,
1093393260,KT954018.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Monfalcone ORF42/43-like gene, partial sequence",586,
1093393259,KT954017.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Caorle ORF4-like gene, partial sequence",329,
1093393258,KT954016.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Cervia/Savio ORF4-like gene, partial sequence",338,
1093393257,KT954015.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Cervia ORF4-like gene, partial sequence",660,
1093393256,KT954014.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Caleri ORF4-like gene, partial sequence",465,
1093393255,KT954013.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Chioggia ORF4-like gene, partial sequence",462,
1093393254,KT954012.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Monfalcone ORF4-like gene, partial sequence",468,
1093393253,KT954011.1,Ostreid herpesvirus 1,"UNVERIFIED: Ostreid herpesvirus 1 isolate Muggia ORF4-like gene, partial sequence",465,
320090194,HQ842610.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF4 gene, partial cds",651,
312164868,HM631982.2,Abalone herpesvirus Victoria/AUS/2007,"Abalone herpesvirus Victoria/AUS/2007 AbHVscaffold-3172-3200, complete sequence",12515,
1043526374,KU518246.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 strain microVar ORF4 gene, partial cds",1016,
1004623731,KU861511.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 strain microvar isolate Cg_C2C6 C2C6 region genomic sequence,641,
1004623730,KU861510.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 strain microvar isolate Oe_C2C6 C2C6 region genomic sequence,641,
1004623729,KU861509.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 strain microvar isolate Cg_IA IA2IA1 region genomic sequence,558,
1004623728,KU861508.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 strain microvar isolate Oe_IA IA2IA1 region genomic sequence,558,
1004623727,KU861507.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 strain microvar isolate Cg_NC NC1NC2 region genomic sequence,427,
1004623726,KU861506.1,Ostreid herpesvirus 1,Ostreid herpesvirus 1 strain microvar isolate Oe_NC NC1NC2 region genomic sequence,427,
780582041,KM115665.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate microvar 009-004-France-C2 C6 ORF4 gene, partial cds",695,
780582039,KM115664.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate microvar 013-France-C2 C6 ORF4 gene, partial cds",695,
780582037,KM115663.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate microvar 012-France-C2 C6 ORF4 gene, partial cds",695,
780582035,KM115662.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate microvar 011-France-C2 C6 ORF4 gene, partial cds",695,
780582033,KM115661.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate microvar 010-France-C2 C6 ORF4 gene, partial cds",695,
780582031,KM115660.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate microvar 009-France-C2 C6 ORF4 gene, partial cds",695,
780582029,KM115659.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate microvar 008-France-C2 C6 ORF4 gene, partial cds",695,
780582027,KM115658.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate microvar 007-France-C2 C6 ORF4 gene, partial cds",695,
780582025,KM115657.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate microvar 006-France-C2 C6 ORF4 gene, partial cds",695,
780582023,KM115656.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate microvar 005-France-C2 C6 ORF4 gene, partial cds",695,
780582021,KM115655.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate microvar 004-France-C2 C6 ORF4 gene, partial cds",695,
950645940,KT429212.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Japan specimen 01-Japan-IA1 IA2 hypothetical protein gene, partial cds",547,
950645938,KT429211.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate Portuguese specimen 01-Portugal-IA1 IA2 hypothetical protein gene, partial cds",547,
950645936,KT429210.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate FRType 15-France-IA1 IA2 hypothetical protein gene, partial cds",547,
